job_id,job_title,description,country,city,remote_type,experience_level,salary_min_usd,salary_max_usd,employment_type,posted_year
ZMF8MDD4V30T,Data Analyst,,Germany,Remote,Remote,Entry,54803.0,85599.0,Full-time,2024
CX1945NQ4FMY,MLOps Engineer,,Canada,Remote,Remote,Senior,149980.0,175806.0,Full-time,2021
9T84AZYTJXEP,Data Analyst,,USA,Seattle,Hybrid,Senior,148201.0,179967.0,Full-time,2021
SHNF877VREN9,AI Researcher,,USA,Austin,Onsite,Senior,143946.0,173591.0,Full-time,2020
P5TB94874FRH,Data Analyst,,Germany,Munich,Hybrid,Entry,56209.0,65070.0,Full-time,2023
89UZFK8UT0CV,Applied Scientist,,UK,Manchester,Hybrid,Senior,140931.0,171640.0,Full-time,2020
5O7UUBCXULJY,AI Researcher,,USA,New York,Onsite,Senior,146484.0,159288.0,Full-time,2025
AWUDTSEMCIKP,Applied Scientist,,Germany,Hamburg,Hybrid,Entry,60021.0,86429.0,Full-time,2024
1WJ0TPAC56T4,Applied Scientist,,USA,Remote,Remote,Mid,97041.0,109176.0,Full-time,2020
HID25OWF7593,Data Analyst,,Germany,Remote,Remote,Mid,102067.0,115885.0,Full-time,2026
9T7E8G8JDP0L,Applied Scientist,,Germany,Frankfurt,Onsite,Senior,146311.0,173893.0,Full-time,2021
S3Y70HP87WXE,AI Researcher,,USA,Seattle,Onsite,Entry,60926.0,78382.0,Full-time,2022
DSWM31YIHAIR,Data Scientist,,UK,London,Onsite,Senior,154518.0,175636.0,Full-time,2024
WZS3T60RJIW1,Applied Scientist,,Canada,Vancouver,Onsite,Mid,94499.0,119413.0,Full-time,2020
M6CFNFHOLQC3,Data Analyst,,Germany,Remote,Remote,Mid,104036.0,123864.0,Full-time,2023
48P0TVHHPBMY,Data Analyst,,USA,Austin,Hybrid,Mid,103770.0,120315.0,Full-time,2021
VXDP5GJLQM5K,Data Analyst,,Canada,Remote,Remote,Mid,97705.0,105635.0,Full-time,2025
C8BBI4WIRE8Q,AI Researcher,,USA,San Francisco,Hybrid,Senior,149926.0,174898.0,Full-time,2025
DALY8OZCYWD1,MLOps Engineer,,USA,Remote,Remote,Mid,103045.0,123544.0,Full-time,2026
NSM43D8W3ZP0,MLOps Engineer,,Germany,Frankfurt,Onsite,Senior,153241.0,172634.0,Full-time,2026
J43D5IQVNB4G,Machine Learning Engineer,,UK,Birmingham,Hybrid,Senior,145576.0,164163.0,Full-time,2024
8DZR1YXR2DHY,AI Researcher,,Germany,Berlin,Onsite,Senior,146046.0,170507.0,Full-time,2024
ZJJEGET1GHR0,Applied Scientist,,Germany,Hamburg,Hybrid,Mid,91647.0,111360.0,Full-time,2022
ATJ9TZE5R5UQ,Data Analyst,,Germany,Remote,Remote,Mid,90841.0,113273.0,Full-time,2026
